id,argument1,argument2,topic,score
2793,"In fact , 58 % of global uranium supplies come from only three countries and its processing as fuel can only be carried out in six countries .",The entire nuclear fuel chain generates lots of long-lasting radioactive waste .,Nuclear energy,0.4464285714
2794,"[ And , why would nuclear energy be expanding internationally if it was n't inherently economical ? ]","As a result , U.S. greenhouse gas emissions from electricity generation have actually decreased over the last decade , even as electricity consumption has increased .",Nuclear energy,0.4107142857
2795,"Such demands on water resources are impractical , harm agriculture , and general raise water utility prices .",* Waste lasts 200 – 500 thousand years .,Nuclear energy,0.1785714286
2796,"As you have a massive concentration of power in very small quantities of uranium , the costs to produce energy decrease drastically .","Instead , Jacobson proposes that the world overcome its sociopolitical barriers and install 80 percent renewables by 2030 and 100 percent by 2050 .",Nuclear energy,0.4464285714
2797,"In all countries using nuclear energy there are well established procedures for storing , managing and transporting such wastes , funded from electricity users .",Nuclear provides 14 % of world electricity .,Nuclear energy,0.4464285714
2798,"And even if a jumbo jet did crash into a reactor and breach the containment , the reactor would not explode .","When these safety systems are properly installed and maintained , they function adequately .",Nuclear energy,0.7321428571
2799,What can a terrorist do with nuclear waste that can not be used in nuclear weapons ?,Voters have decided against a timetable that would see Switzerland stop using nuclear power by 2029 .,Nuclear energy,0.25
2800,Nuclear power fitted neatly into the existing electricity generation and distribution system .,The advantages of renewables are a given .,Nuclear energy,0.375
2801,"Waste heat from nuclear reactors can be used "" How nuclear power could fertilise fields . ""","And the next generation of nuclear reactors will be even cheaper , safer , and more environmentally benign .",Nuclear energy,0.5714285714
2802,"Palo Alto , California ( CNN ) -- If our nation wants to reduce global warming , air pollution and energy instability , we should invest only in the best energy options .",There is however no radioactive spent fuel that needs to be stored or reprocessed with conventional renewable energy sources .,Nuclear energy,0.5714285714
2803,But just because nuclear technology can be put to evil purposes is not an argument to ban its use .,"While no technology can be perfectly safe , nuclear power is an inherently risky technology , and minimizing its risks requires stringent safety standards and practices .",Nuclear energy,0.5357142857
2804,"Nuclear plants only produce electricity and ca n't replace oil and gas "" The case against nuclear power "" .","Admittedly , there 's a fright factor with nuclear power .",Nuclear energy,0.4821428571
2805,Radioactive clouds deposited radiation thousands of kilometers away .,"Additionally , nuclear power is a technology-intensive industry in which the United States has traditionally led the world .",Nuclear energy,0.375
2806,The reserves of uranium ores used to generate nuclear power are going to run out .,"So for us to say we wo n't use all the tools [ such as nuclear energy ] to solve the problem is crazy . """,Nuclear energy,0.4285714286
2807,"The latest generation of nuclear reactors have improved capacities and generating capabilities , but with comparable emissions .",If Australia had a nuclear power plant and it had a meltdown Australia would be in devastated .,Nuclear energy,0.3392857143
2808,Nuclear is the best way to generate electricity .,That 's because the nuclear fission process produces virtually no greenhouse gas emissionsâ € ” unlike the burning of fossil fuels such as coal and natural gas .,Nuclear energy,0.625
2809,"The risks from nuclear energy are real , inherent and long-lasting .","They could entirely replace the world 's fossil fuel-based energy system by 2050 , if governments will it to be so , he said .",Nuclear energy,0.2857142857
2810,"Reactors , with the piles of nuclear materials , are prime terrorists targets .","studies worldwide ( for a partial listing see Charles Sanders ’s 2009 book Radiation Hormesis and the Linear-No-Threshold Assumption and for a more complete , though more dated , listing see T.D. Luckey ’s 1991 book Radiation Hormesis ) to be false at the low-dose ranges to which most nuclear workers , accident responders , and nearby residents have been exposed .",Nuclear energy,0.4285714286
2811,"Both of these plants were licensed by the NRC after extensive proceedings , which included preparation of Environmental Impact Statements ( EIS 's ) .",Nuclear power can not replace that energy .,Nuclear energy,0.25
2812,"The efficiency of the wind and solar power plants are getting higher every year and could potentially be used to relieve our need for fossil fuels , at least more than nuclear power could .","Currently , over 2,000 metric tons of high-level radioactive waste and 12 million cubic feet of low level radioactive waste are produced annually by the 103 operating reactors in the United States .4 No country in the world has found a solution for this waste .",Nuclear energy,0.3928571429
2813,Widespread commercial take up is severely limited due to popular misconceptions about the dangers of nuclear power .,"In 2001 the Economist , a publication with its heart firmly in the camp of “ free-market ” capitalism wrote : “ Nuclear Power , once claimed to be too cheap to meter , is now too costly to matter . ”",Nuclear energy,0.4285714286
2814,"Furthermore , we have the technology to tap into them to provide not just the 20 percent of electricity currently provided by nuclear in the United States , but to provide all of our electrical needs .","April 16th , 2006 : "" [ Claim :] Nuclear waste will be dangerous for thousands of years .",Nuclear energy,0.3035714286
2815,Fossil energy should have been dispatched yesterday .,Nuclear power can not replace that energy .,Nuclear energy,0.4107142857
2816,It will not let out greenhouse gases and it will save the world from pollution .,"Serious radioactive contamination spread over 150,000 square kilometers in Byelorussia , Ukraine and Russia .",Nuclear energy,0.3392857143
2817,"Look at the cons associated with conventional nuclear reactors … high operating pressure and temperature , massive size of containment structures , waste by products , potential for catastrophic systems failure , ad nauseam and they built them anyway !",But a risk of an accident is not an effect on the physical environment .,Nuclear energy,0.4107142857
2818,"1 million Europeans against nuclear power : "" Although nuclear power is a hazardous business , the nuclear industry hardly has any financial liability .","However , by 1974 sections of the Australian Labor Party ( ALP ) and the public generally were becoming concerned with the hazards of uranium mining and the impact of mining on traditional Aboriginal communities .",Nuclear energy,0.4107142857
2819,"A typical nuclear power plant generates about 1,000 megawatts with capacity factors over 90 percent .","Historically , mining and purifying uranium has n't been a very clean process .",Nuclear energy,0.3035714286
2820,"Inside China , and outside the country , the speed of the nuclear construction program has raised safety concerns .","And costs are only so high , because safety standards have been forced to absurd levels by greens .",Nuclear energy,0.5535714286
2821,He omits entirely the best argument against choosing nuclear energy to address climate change : time .,"This causes utilities to operate nuclear power plants in an up and down mode rather than their normal baseload operation , making them even less competitive .",Nuclear energy,0.3928571429
2822,"Aided by a corrupt IAEA , the world has been subjected to a massive cover-up and deception about the true damages caused by Chernobyl . ”",Concentration of power in nuclear is economical .,Nuclear energy,0.375
2823,"Every dollar spent on nuclear is one less dollar spent on clean renewable energy and one more dollar spent on making the world a comparatively dirtier and a more dangerous place , because nuclear power and nuclear weapons go hand in hand .","Yet , rising concerns regarding global warming and energy prices , however , nuclear energy has seen renewed attention as alternative form of energy .",Nuclear energy,0.5714285714
2824,"Apart from the 57 direct deaths in the accident itself , UNSCEAR predicted in 2005 that up to 4,000 additional cancer deaths related to the accident would appear "" among the 600 000 persons receiving more significant exposures ( liquidators working in 1986 – 87 , evacuees , and residents of the most contaminated areas ) "" .",secondly we have so much nuclear energy that if we did have an accident it would be one of the biggest accidents .,Nuclear energy,0.625
2825,"Halt any investment in fossil fuel infrastructure , including natural gas , and phase out all fossil fuel power plants .","Yet , rising concerns regarding global warming and energy prices , however , nuclear energy has seen renewed attention as alternative form of energy .",Nuclear energy,0.6607142857
2826,It is a permanent ‘ dead zone .,Nuclear energy makes only a trivial contribution to world energy needs .,Nuclear energy,0.2321428571
2827,"High risks : Despite a generally high security standard , accidents can still happen .",The Chernobyl accident that occurred on 26 April 1986 at the Chernobyl Nuclear Power Plant in Ukraine was the worst nuclear accident in the history .,Nuclear energy,0.4642857143
2828,Nuclear waste radioactivity dissipates over time .,Replacing coal to limit global warming should not be based on another toxic product .,Nuclear energy,0.3214285714
2829,"The sober warning is that if more is not done , nuclear power will diminish as a practical and timely option for deployment at a scale that would constitute a material contribution to climate change risk mitigation .",Mining and milling operators must deal with mill tailings â € ” the radioactive material left over after the uranium has been extracted from the oreâ € ” as well as waste rock and radiologically contaminated equipment .,Nuclear energy,0.5
2830,"In addition , nuclear fission differs from the burning of fossil fuel in that it produces neither sulfur dioxide nor nitrogen oxides , the pollutants that cause acid rain .",Building new nuclear power stations would increase the most toxic high level waste five-fold .,Nuclear energy,0.6607142857
2831,"Radiation is like virtually all other agents , both chemical and physical , to which life has been exposed during the 3 billion or so years of life on earth .",Fossil fuel burning produces twenty seven thousand million tons of carbon dioxide yearly .,Nuclear energy,0.5357142857
2832,The immense pressure of the water on an already compromised containment structure subject to continuing aftershocks could be enough to crack it open .,The risks attached to nuclear energy far outweigh the benefits .,Nuclear energy,0.375
2833,Clearly a campaign which effectively does away with nuclear power does not automatically do away with centralised systems of political and economic control .,Nuclear provides 14 % of world electricity .,Nuclear energy,0.375
2834,Nuclear power requires a very small area .,"Given that our world is seriously in need of the kind of generating capacity that a thorium based reactor network could produce , the fact that we are not building these stations right now is one of today ’s most heinous scandals .",Nuclear energy,0.4285714286
2835,The world energy demand is projected to grow by 50 % by 2030 .,"April 16th , 2006 : "" [ Claim :] Nuclear waste will be dangerous for thousands of years .",Nuclear energy,0.2142857143
2836,There is no need for nuclear .,Even the much heralded solar energy has the potential to be incorporated into these structures if it develops in certain ways .,Nuclear energy,0.2142857143
2837,The Chernobyl accident that occurred on 26 April 1986 at the Chernobyl Nuclear Power Plant in Ukraine was the worst nuclear accident in the history .,"There were incidents in post-Soviet Russia of nuclear plant workers attempting to sell nuclear materials for this purpose ( for example , there was such an incident in Russia in 1999 where plant workers attempted to sell 5 grams of radioactive material on the open market , and an incident in 1993 where Russian workers were caught attempting to sell 4.5 kilograms of enriched uranium .",Nuclear energy,0.6071428571
2838,"In all countries using nuclear energy there are well established procedures for storing , managing and transporting such wastes , funded from electricity users .","The United States 9/11 Commission has said that nuclear power plants were potential targets originally considered for the September 11 , 2001 attacks .",Nuclear energy,0.3214285714
2839,"The 54 % opposing it is up significantly from 43 % a year ago , while the 44 % who favor using nuclear energy is down from 51 % .","Currently , over 2,000 metric tons of high-level radioactive waste and 12 million cubic feet of low level radioactive waste are produced annually by the 103 operating reactors in the United States .4 No country in the world has found a solution for this waste .",Nuclear energy,0.4464285714
2840,Escalation of uranium fuel costs decreased the viability of nuclear projects .,"If a containment field were to rupture suddenly , the resulting leak of radiation could be catastrophic .",Nuclear energy,0.4464285714
2841,"The sun shines only part of the time in much of the world , but nuclear energy is beneficial for various military and civilian applications .",Phase out nuclear power and end nuclear subsidies .,Nuclear energy,0.1964285714
2842,"In so far as fossil fuels contribute to global warming and nuclear energy does not , therefore , fossil fuels are the real enemy of renewables .","Rajendra Pachauri , chairman of the IPCC , said the necessary investment in renewables would cost only about 1 % of global GDP annually .",Nuclear energy,0.4285714286
2843,"Of course , accidents are not the only measure of safety , and the absence of accidents does not necessarily indicate that there are no safety problems .",Lots of countries have not had accident so why should we .,Nuclear energy,0.5357142857
2844,"Uranium sources are just as finite as other fuel sources , such as coal , natural gas , etc. , and are expensive to mine , refine , and transport , and produce considerable environmental waste ( including greenhouse gasses ) during all of these processes .","The Japanese thought that Fukushima Dai’ichi was invincible ; now , the wreck of Fukushima Dai’ichi ( i.e. triple meltdowns where the coriums have now bored though the primary containment into the ground via their own lava tubes , to reach the water table in the coming years ) is destroying all life in the Pacific Ocean ; billions of years of biological evolution in Pacific Ocean is being wrecked in a course of a few years .",Nuclear energy,0.4821428571
2845,To the editor : Bryce wants us to build new nuclear power plants as a partial solution to global warming .,"Nuclear power has been relatively unaffected by embargoes , and uranium is mined in countries willing to export , including Australia and Canada .",Nuclear energy,0.3571428571
2846,"Reactors , with the piles of nuclear materials , are prime terrorists targets .",Disasters • One of the biggest disadvantages of nuclear energy is the occurrence of accidents due to core meltdown .,Nuclear energy,0.4107142857
2847,"Remember , fluoride volatility extracts uranium very effectively , and is currently used in making LWR fuel ( it works , and equipment is NRC-approved ) .","There were incidents in post-Soviet Russia of nuclear plant workers attempting to sell nuclear materials for this purpose ( for example , there was such an incident in Russia in 1999 where plant workers attempted to sell 5 grams of radioactive material on the open market , and an incident in 1993 where Russian workers were caught attempting to sell 4.5 kilograms of enriched uranium .",Nuclear energy,0.4464285714
2848,"The nuclear waste buried in pits at the production sites is no threat to Gaia and dangerous only to those foolish enough to expose themselves to its radiation . """,Keep in mind : the U-233 is about as nasty stuff as plutonium is .,Nuclear energy,0.4642857143
2849,"Sizewell B , the UK ’s most recent power station cost the taxpayer around £ 3.7 billion just to install Decommissioning and cleaning up all of our current nuclear sites is costing more than £ 70 billion .","On the other hand , unlike costly and dangerous nuclear power , renewables are meeting energy needs quickly and without the problem of a deadly waste legacy or risking the diversion of radioactive materials .",Nuclear energy,0.6071428571
2850,"A large amount of uranium ore needs to be mined , milled , refined and enriched in order to produce that little tiny pellet that has the energy of many coal hopper cars .","Instead , Jacobson proposes that the world overcome its sociopolitical barriers and install 80 percent renewables by 2030 and 100 percent by 2050 .",Nuclear energy,0.375
2851,"Yet many of the articles that describe their lives still , out of oxymoronic habit , use scare phrases like “ toxic wasteland , ” “ most highly contaminated on earth , ” and so on .","Can we continue to despoil our environment with long-lived radioactive materials that are scattered to the wind and embedded in our precious soil , randomly exposing large populations , and foisting health impacts on unsuspecting future generations who have no choice in this matter ?",Nuclear energy,0.7321428571
2852,Nuclear energy will compete with and squeeze out renewable energy .,"[ ... ] Renewable energy , on the other hand , is the cleanest , safest and most reliable form of power generation . """,Nuclear energy,0.5178571429
2853,"Currently , over 2,000 metric tons of high-level radioactive waste and 12 million cubic feet of low level radioactive waste are produced annually by the 103 operating reactors in the United States .4 No country in the world has found a solution for this waste .",Nuclear provides 14 % of world electricity .,Nuclear energy,0.2678571429
2854,"Solar , wind , geothermal , hydro and other forms of green power are cheaper , cleaner , safer , faster to build , require no federal limits on liability and create no radioactive waste .",Nuclear power is not an automatic or inevitable development .,Nuclear energy,0.3035714286
2855,If a large plane were flown into a nuclear power station the disaster would be immeasurably worse than Chernobyl .,Nuclear energy is highly efficient The efficient use of natural resources is a major criteria in determining the environmental friendliness of a source of energy .,Nuclear energy,0.25
2856,"Depending on reactor design , there may not be enough Helium-3 fuel on earth to supply it .","Nuclear power is a very useful source of energy , plus we have a third of the worlds uranium .",Nuclear energy,0.4464285714
2857,"The nuclear industry has an excellent safety record , with some 14,800 reactor years of operation spanning five decades .","This is still not sufficient in the case of a serious accident , as the cost of damages could exceed $ 10 billion .",Nuclear energy,0.4464285714
2858,"Hence , without a nuclear power program , justified as the peaceful use of unlimited , cheap , and safe energy , it is not possible to realistically generate the required amount of plutonium for nuclear weapons .",The chief environmental argument among nuclear power 's backers is that its carbon emissions are the lowest among major power sources .,Nuclear energy,0.5535714286
2859,"Terrorism : The opportunity for theft by terrorists of nuclear materials usable in even a "" dirty bomb "" would susbtantially increase if nuclear power is expanded .","There are also bottlenecks at factories that produce reactor pressure vessels and other equipment , and there is a shortage of qualified personnel to build and operate the reactors , although the recent acceleration in nuclear power plant construction is drawing a substantial expansion of the heavy engineering capability .",Nuclear energy,0.4285714286
2860,"We all remember the Chernobyl accident , where the harmful effects of nuclear radiation on humans can even be witnessed today .",This results in fewer brownouts or other power interruptions .,Nuclear energy,0.3392857143
2861,"The immediate loss of life , in the tens of thousands , coupled with the invisible and long-term effects of radiation sickness and cancers , brought the world up against the sharp razor edge of the nuclear age .","Nuclear waste disposal is costly Digging massive holes in mountains , transporting nuclear waste to these designated waste areas , and monitoring the waste areas for radiation leakages are all significant costs associated with nuclear energy .",Nuclear energy,0.5
2862,Geothermal energy is also usable as a reasonably permanent renewable resource .,"In 2009 in Germany , eight nuclear reactors had to be shut down simultaneously on hot summer days for reasons relating to the overheating of equipment or of rivers .",Nuclear energy,0.3214285714
2863,"* Uranium sources are just as finite as other fuel sources , such as coal , natural gas , etc. , and are expensive to mine , refine , and transport , and produce considerable environmental waste ( including greenhouse gasses ) during all of these processes .","In 2009 in Germany , eight nuclear reactors had to be shut down simultaneously on hot summer days for reasons relating to the overheating of equipment or of rivers .",Nuclear energy,0.5
2864,Nuclear power fitted neatly into the existing electricity generation and distribution system .,Nuclear energy requires substantial water to cool the reactor Nuclear power plants are only 35 % thermally efficient .,Nuclear energy,0.4642857143
2865,"* Uranium sources are just as finite as other fuel sources , such as coal , natural gas , etc. , and are expensive to mine , refine , and transport , and produce considerable environmental waste ( including greenhouse gasses ) during all of these processes .",There is however no radioactive spent fuel that needs to be stored or reprocessed with conventional renewable energy sources .,Nuclear energy,0.5357142857
2866,"They go on to argue "" that ( a ) its near-term potential is significantly limited compared to energy efficiency and renewable energy ; ( b ) it displaces emissions and saves lives only at high cost and at the enhanced risk of nuclear weapons proliferation ; ( c ) it is unsuitable for expanding access to modern energy services in developing countries ; and ( d ) Hansen 's estimates of cancer risks from exposure to radiation are flawed "" .",The nuclear industry is responsible for horrific wastes which will endure as a nightmare for our grandchildren .,Nuclear energy,0.5714285714
2867,Reprocessing spent fuel gives rise to plutonium which is likely to be used in bombs .,"Nuclear plants only produce electricity and ca n't replace oil and gas "" The case against nuclear power "" .",Nuclear energy,0.1964285714
2868,"Nuclear waste is minimal , solid , and manageable James Lovelock , Honorary Visiting Fellow , Green College , Oxford University .","Mining uranium is very dangerous for workers "" The Case Against Nuclear Power "" .",Nuclear energy,0.4107142857
2869,"January 8 , 2008 : "" going nuclear would squeeze out renewables .","Nuclear power has been relatively unaffected by embargoes , and uranium is mined in countries willing to export , including Australia and Canada .",Nuclear energy,0.2857142857
2870,Lower gasoline prices over the past year are likely driving greater opposition toward the use of nuclear power .,"Increasing the amount of waste shipped , particularly in less secure countries , is seen as a significant increase in risk to nuclear terrorism .",Nuclear energy,0.4464285714
2871,"In 1982 , a Sandia National Laboratories study concluded that depending on the reactor size and ' unfavorable conditions ' a serious nuclear accident could lead to property damages as high as $ 314 billion while fatalities could reach 50,000 .","According to this twisted logic , environmental benefits from new nuclear power plants do receive proper credit under the Obama administration ’s Clean Power Plan .",Nuclear energy,0.4464285714
2872,"Background : During the 1960 's and 1970 's nuclear energy was once touted as "" the "" best way to produce electricity .","While China has invested the equivalent of about $ 10 billion per year into nuclear power in recent years , in 2010 it spent twice as much on wind energy alone and some $ 54.5 billion on all renewables combined .",Nuclear energy,0.5357142857
2873,There is not enough uranium to sustain nuclear power beyond a few decades .,A nuclear power plant when in the mode of producing energy can run uninterrupted for even a year .,Nuclear energy,0.4285714286
2874,"Despite what the nuclear industry tells us , building enough nuclear power stations to make a meaningful reduction in greenhouse gas emissions would cost trillions of dollars , create tens of thousands of tons of lethal high-level radioactive waste , contribute to further proliferation of nuclear weapons materials , and result in a Chernobyl-scale accident once every decade .","They emphasize that the risks of storing waste are small and can be further reduced by using the latest technology in newer reactors , and the operational safety record in the Western world is excellent when compared to the other major kinds of power plants .",Nuclear energy,0.6607142857
2875,"Despite what the nuclear industry tells us , building enough nuclear power stations to make a meaningful reduction in greenhouse gas emissions would cost trillions of dollars , create tens of thousands of tons of lethal high-level radioactive waste , contribute to further proliferation of nuclear weapons materials , and result in a Chernobyl-scale accident once every decade .","Nuclear power is the ultimate way of centralising power , putting it in the hands of experts , multi-national corporations and Big Government .",Nuclear energy,0.5357142857
2876,"Without an increase in the rate of new-plant construction that surpasses that of the global construction programs of the 1970s and 1980s , nuclear power can not make a meaningful contribution to climate change risk mitigation .","In India , the country with the most recent experience of nuclear reactor construction , completion costs for the last 10 reactors have , on average , been 300 % over budget .",Nuclear energy,0.5178571429
2877,"Despite what the nuclear industry tells us , building enough nuclear power stations to make a meaningful reduction in greenhouse gas emissions would cost trillions of dollars , create tens of thousands of tons of lethal high-level radioactive waste , contribute to further proliferation of nuclear weapons materials , and result in a Chernobyl-scale accident once every decade .","Nuclear power already delivers less energy globally than renewable energy , and the share will continue to decrease in the coming years .",Nuclear energy,0.5357142857
2878,The Inquiry did in fact analyse the overall dangers of the nuclear industry and concluded that no decision on uranium mining should occur without public debate .,"Furthermore , according to research by Friends of the Earth , if the extremely polluting and dangerous mining and refining of uranium are included in the running of nuclear plants , they emit 250,000 tons of CO2 for every year of operation .",Nuclear energy,0.5892857143
2879,"Fall , 2006 - "" Roughly 700 million metric tons of CO2 emissions are avoided each year in the United States by generating electricity from nuclear power rather than some other source .",Pros Nuclear power can generate a vast amount of energy without spewing out air pollution during operation .,Nuclear energy,0.7857142857
2880,"However , if the nuclear industry is so confident in the ' safety ' of its reactors and the long-lived radioactive wastes that they produce , why must the American taxpayer indemnify the industry against the financial consequences of nuclear accident through the Price Anderson Act ?","What 's worse , the nuclear industry wants to reprocess waste to obtain more energy from increasingly scarce uranium .",Nuclear energy,0.3928571429
2881,"Despite assurances from U.S. politicians and the nuclear industry that a similar disaster “ could n’t happen here , ” the possibility of a nuclear accident in the United States is very real .","[ ... ] Worldwide , the cost of building a nuclear reactor is consistently two to three times higher than the nuclear industry estimates .",Nuclear energy,0.4464285714
2882,"But as Michael Grunwald noted in Time , recent price estimates for a large plant in Florida came in at $ 12 billion to $ 18 billion , and that 's before you consider the fact that the nuclear industry has a history of 250-percent cost overruns.Some analysts say alternative methods would yield much more climate-saving bang for our buck than nuclear power .","Despite ongoing quarrels over its costs and an international perception that “ German angst ” caused the government to shut down reactors after the Fukushima accident , a vast majority of Germans is still in favour of putting an end to nuclear power .",Nuclear energy,0.5
2883,"Despite what the nuclear industry tells us , building enough nuclear power stations to make a meaningful reduction in greenhouse gas emissions would cost trillions of dollars , create tens of thousands of tons of lethal high-level radioactive waste , contribute to further proliferation of nuclear weapons materials , and result in a Chernobyl-scale accident once every decade .","Nuclear waste disposal is costly Digging massive holes in mountains , transporting nuclear waste to these designated waste areas , and monitoring the waste areas for radiation leakages are all significant costs associated with nuclear energy .",Nuclear energy,0.7142857143
2884,"According to a report cited inScientific American , the costs to the taxpayer of building 100 new nuclear power plants , over the lifetime of the plants , over and above costs associated with alternatives if they had been pursued , come to a truly gargantuan $ 1.9 – 4.1 trillion .",If the industry does not pay the total costs of disposing of nuclear waste and ensuring it is safe for thousand of years then this is a subsidy .,Nuclear energy,0.6071428571
2885,"Despite what the nuclear industry tells us , building enough nuclear power stations to make a meaningful reduction in greenhouse gas emissions would cost trillions of dollars , create tens of thousands of tons of lethal high-level radioactive waste , contribute to further proliferation of nuclear weapons materials , and result in a Chernobyl-scale accident once every decade .","Increasing the amount of waste shipped , particularly in less secure countries , is seen as a significant increase in risk to nuclear terrorism .",Nuclear energy,0.7142857143
2886,"Enthusiasts say that the third generation nuclear stations are cleaner and safer than their older counterparts and provide more energy and this , along with the need to reduce emissions , is driving nuclear power policy .",Read CND 's summary of the German government-commissioned research that shows increases in cancer in children under five living near nuclear power stations .,Nuclear energy,0.3214285714
2887,"In the event that a malevolent group of people detonate a nuclear reactor , the results would be devastating .","Prof He Zuoxiu , who was involved with China 's atomic bomb program , has said that plans to expand production of nuclear energy twentyfold by 2030 could be disastrous , as China was seriously underprepared on the safety front .",Nuclear energy,0.5714285714
2888,"A literature survey by the Intergovernmental Panel on Climate Change of 32 greenhouse gas emissions studies , found a median value of 16 g equivalent lifecycle carbon dioxide emissions per kWh for nuclear power .",Even if we doubled nuclear power in the UK it would only reduce greenhouse gas emissions by 8 % .,Nuclear energy,0.6071428571
2889,"However , if the nuclear industry is so confident in the ' safety ' of its reactors and the long-lived radioactive wastes that they produce , why must the American taxpayer indemnify the industry against the financial consequences of nuclear accident through the Price Anderson Act ?","The Price-Anderson Act , introduced in 1957 , was "" an implicit admission that nuclear power provided risks that producers were unwilling to assume without federal backing "" .",Nuclear energy,0.7321428571
2890,Nuclear power stations are so dangerous that no insurance company will undertake to pay the total costs of a disaster or a terrorist attack .,"Moreover , as we ’ve witnessed to our cost , the large nuclear power plants are all too liable to damage caused by extrinsic ( and uncontrollable ) factors .",Nuclear energy,0.6428571429
2891,Failure to act could foreclose the nuclear power option in this country and make the road to clean air and energy independence in the future that much harder .,A new nuclear power station will take at least 10 years to build and longer to generate electricity .,Nuclear energy,0.4642857143
2892,"Rather than refute here Hunziker ’s reproduced claims about Fukushima and Chernobyl one-by-one , or his claims about nuclear energy and radiation in general , we recommend starting with a piece that the two of us wrote in 2012 on nuclear energy and radiation science , placing nuclear in the context of the other leading sources of energy .","Nuclear : The crowning mother of expenses , nuclear is the blunt force of power generation for things like super-heavy industrial use or large cities .",Nuclear energy,0.625
2893,"According to the Nuclear Energy Institute , the power produced by the world 's nuclear plants would normally produce 2 billion metric tons of CO2 per year if they depended on fossil fuels .",The amount of fuel required by nuclear power plant is comparatively less than what is required by other power plants as energy released by nuclear fission is approximately ten million times greater than the amount of energy released by fossil fuel atom .,Nuclear energy,0.625
2894,This puts them at the mercy of the rich and more technically advanced states if they go down the nuclear power route .,"Additionally , nuclear power is a technology-intensive industry in which the United States has traditionally led the world .",Nuclear energy,0.7142857143
2895,"[ ... ] Worldwide , the cost of building a nuclear reactor is consistently two to three times higher than the nuclear industry estimates .","Of particular concern are two long-lived fission products , technetium-99 ( half-life 220,000 years ) and iodine-129 ( half-life 15.7 million years ) , which dominate spent nuclear fuel radioactivity after a few thousand years .",Nuclear energy,0.2142857143
2896,"January 8 , 2008 - "" No nuclear power station anywhere in the world has ever been built on time and on budget with the average reactor costing three times as much and twice as long to build .","Nuclear waste disposal is costly Digging massive holes in mountains , transporting nuclear waste to these designated waste areas , and monitoring the waste areas for radiation leakages are all significant costs associated with nuclear energy .",Nuclear energy,0.6071428571
2897,"1 million Europeans against nuclear power : "" Although nuclear power is a hazardous business , the nuclear industry hardly has any financial liability .","The accident raised concerns about the safety of the nuclear power industry , slowing its expansion for a number of years .",Nuclear energy,0.4821428571
2898,The construction of a nuclear power plant requires much less investment than a hydroelectric one .,"Once built , the cost to operate a nuclear power plant is constant and predictable since the uranium fuel cost amounts to less than $ 0.0003 per KWH .",Nuclear energy,0.5535714286
2899,Escalation of uranium fuel costs decreased the viability of nuclear projects .,"Despite ongoing quarrels over its costs and an international perception that “ German angst ” caused the government to shut down reactors after the Fukushima accident , a vast majority of Germans is still in favour of putting an end to nuclear power .",Nuclear energy,0.375
2900,Nuclear fission produces roughly a million times more energy per unit weight than fossil fuel alternatives [ source : Helman ] .,Energy inputs to nuclear fuel cycle produce only a few ( eg 1-3 ) percent of the CO2 emissions saved .,Nuclear energy,0.5535714286
2901,"Hence , without a nuclear power program , justified as the peaceful use of unlimited , cheap , and safe energy , it is not possible to realistically generate the required amount of plutonium for nuclear weapons .",The move comes against the backdrop of nuclear innovations that seek to address safety and cost issues that have hampered the sector .,Nuclear energy,0.5714285714
2902,"Taxpayers , not nuclear industry , assume risks of disaster "" 6 reasons against nuclear energy "" .",Possibly the largest hurdle of all is the fact that some wealthy and powerful interest groups have invested a great deal of time and money into building the myth that there is “ no safe dose ” of radiation because they know that the truth will enable nuclear energy to flourish at their expense in the energy supply market .,Nuclear energy,0.5535714286
2903,"They argue that when all the energy-intensive stages of the nuclear fuel chain are considered , from uranium mining to nuclear decommissioning , nuclear power is not a low-carbon electricity source .","But nuclear energy is n't really a zero-carbon system , since you still have to manufacture power plants , mine and enrich uranium , and transport processed fuelâ € ” all of which typically rely on CO2-emitting fuel sources .",Nuclear energy,0.6964285714
2904,In this case the nuclear-free zone campaign provided a channel for exposing and challenging the role of nuclear expertise and elites in promoting nuclear power .,The two industries have been linked since the very beginning and a nuclear weapons free world requires a non-nuclear energy policy .,Nuclear energy,0.5178571429
2905,"The government 's Nuclear Regulatory Commission has a set safety goal for every reactor in the country : The chance of an accident that results in radioactivity being released to the environment must be no more than one in a million , as determined by probabilistic risk assessment .","Without an increase in the rate of new-plant construction that surpasses that of the global construction programs of the 1970s and 1980s , nuclear power can not make a meaningful contribution to climate change risk mitigation .",Nuclear energy,0.6964285714
2906,"There are many other reasons to be against nuclear power : the cost overruns , the fact that no country has a fully developed or workable plan — or in most cases any plan — for what to do with the nuclear waste that is piling up alongside the nuclear reactors .",So there ’s enormous excitement and concerted action on nuclear energy — whether it ’s modifying and refining the technology for extant fission reactors by increasing their safety and reliability while lowering their costs or the many worldwide efforts toward achieving nuclear fusion .,Nuclear energy,0.6607142857
2907,"The sober warning is that if more is not done , nuclear power will diminish as a practical and timely option for deployment at a scale that would constitute a material contribution to climate change risk mitigation .","April/May 2006 : "" The best case against nuclear power as a global warming remedy begins with the fact that nuclear-generated electricity is very expensive .",Nuclear energy,0.6428571429
